cve_estado,municipio
chh,Chihuahua
chh,Cuauhtémoc
chh,"Riva Palacio"
chh,"Aquiles Serdán"
chh,Bachíniva
chh,Guerrero
chh,"Nuevo Casas Grandes"
chh,Ascensión
chh,Janos
chh,"Casas Grandes"
chh,Galeana
chh,Buenaventura
chh,"Gómez Farías"
chh,"Ignacio Zaragoza"
chh,Madera
chh,Namiquipa
chh,Temósachic
chh,Matachí
chh,Juárez
chh,Guadalupe
chh,"Praxedis G. Guerrero"
chh,Ahumada
chh,"Coyame del Sotol"
chh,Ojinaga
chh,Aldama
chh,Julimes
chh,"Manuel Benavides"
chh,Delicias
chh,Rosales
chh,Meoqui
chh,"Dr. Belisario Domínguez"
chh,Satevó
chh,"San Francisco de Borja"
chh,Nonoava
chh,Guachochi
chh,Bocoyna
chh,Cusihuiriachi
chh,"Gran Morelos"
chh,"Santa Isabel"
chh,Carichí
chh,Uruachi
chh,Ocampo
chh,Moris
chh,Chínipas
chh,Maguarichi
chh,Guazapares
chh,"Batopilas de Manuel Gómez Morín"
chh,Urique
chh,Morelos
chh,"Guadalupe y Calvo"
chh,"San Francisco del Oro"
chh,Rosario
chh,Huejotitán
chh,"El Tule"
chh,Balleza
chh,"Santa Bárbara"
chh,Camargo
chh,Saucillo
chh,"Valle de Zaragoza"
chh,"La Cruz"
chh,"San Francisco de Conchos"
chh,"Hidalgo del Parral"
chh,Allende
chh,López
chh,Matamoros
chh,Jiménez
chh,Coronado
