cve_estado,municipio
coa,Saltillo
coa,Arteaga
coa,Juárez
coa,Progreso
coa,Escobedo
coa,"San Buenaventura"
coa,Abasolo
coa,Candela
coa,Frontera
coa,Monclova
coa,Castaños
coa,"Ramos Arizpe"
coa,"General Cepeda"
coa,"Piedras Negras"
coa,Nava
coa,Acuña
coa,Múzquiz
coa,Jiménez
coa,Zaragoza
coa,Morelos
coa,Allende
coa,"Villa Unión"
coa,Guerrero
coa,Hidalgo
coa,Sabinas
coa,"San Juan de Sabinas"
coa,Torreón
coa,Matamoros
coa,Viesca
coa,Ocampo
coa,Nadadores
coa,"Sierra Mojada"
coa,"Cuatro Ciénegas"
coa,Lamadrid
coa,Sacramento
coa,"San Pedro"
coa,"Francisco I. Madero"
coa,Parras
