cve_estado,municipio
dur,Durango
dur,Canatlán
dur,"Nuevo Ideal"
dur,"Coneto de Comonfort"
dur,"San Juan del Río"
dur,Canelas
dur,Topia
dur,Tamazula
dur,"Santiago Papasquiaro"
dur,Otáez
dur,"San Dimas"
dur,"Guadalupe Victoria"
dur,"Peñón Blanco"
dur,"Pánuco de Coronado"
dur,Poanas
dur,"Nombre de Dios"
dur,"Vicente Guerrero"
dur,Súchil
dur,"Pueblo Nuevo"
dur,Mezquital
dur,"Gómez Palacio"
dur,Lerdo
dur,Mapimí
dur,Tlahualilo
dur,Hidalgo
dur,Ocampo
dur,Guanaceví
dur,"San Bernardo"
dur,Indé
dur,"San Pedro del Gallo"
dur,Tepehuanes
dur,"El Oro"
dur,Nazas
dur,"San Luis del Cordero"
dur,Rodeo
dur,Cuencamé
dur,"Santa Clara"
dur,"San Juan de Guadalupe"
dur,"General Simón Bolívar"
