cve_estado,municipio
gro,"Chilpancingo de los Bravo"
gro,"General Heliodoro Castillo"
gro,"Leonardo Bravo"
gro,"Tixtla de Guerrero"
gro,"Ayutla de los Libres"
gro,"Ñuu Savi"
gro,Mochitlán
gro,Quechultenango
gro,Tecoanapa
gro,"Acapulco de Juárez"
gro,"Juan R. Escudero"
gro,"San Marcos"
gro,"Las Vigas"
gro,"Iguala de la Independencia"
gro,"Huitzuco de los Figueroa"
gro,"Tepecoacuilco de Trujano"
gro,"Eduardo Neri"
gro,"Taxco de Alarcón"
gro,"Buenavista de Cuéllar"
gro,Tetipac
gro,Pilcaya
gro,Teloloapan
gro,"Ixcateopan de Cuauhtémoc"
gro,"Pedro Ascencio Alquisiras"
gro,"General Canuto A. Neri"
gro,Arcelia
gro,Apaxtla
gro,"Cuetzala del Progreso"
gro,Cocula
gro,Tlapehuala
gro,"Cutzamala de Pinzón"
gro,Pungarabato
gro,Tlalchapa
gro,"Coyuca de Catalán"
gro,"Ajuchitlán del Progreso"
gro,Zirándaro
gro,"San Miguel Totolapan"
gro,"La Unión de Isidoro Montes de Oca"
gro,Petatlán
gro,"Coahuayutla de José María Izazaga"
gro,"Zihuatanejo de Azueta"
gro,"Técpan de Galeana"
gro,"Atoyac de Álvarez"
gro,"Benito Juárez"
gro,"Coyuca de Benítez"
gro,Olinalá
gro,"Atenango del Río"
gro,Copalillo
gro,Cualác
gro,"Chilapa de Álvarez"
gro,"José Joaquín de Herrera"
gro,Ahuacuotzingo
gro,Zitlala
gro,"Mártir de Cuilapan"
gro,Huamuxtitlán
gro,Xochihuehuetlán
gro,Alpoyeca
gro,"Tlapa de Comonfort"
gro,"Tlalixtaquilla de Maldonado"
gro,Xalpatláhuac
gro,"Zapotitlán Tablas"
gro,Acatepec
gro,Atlixtac
gro,Copanatoyac
gro,Malinaltepec
gro,"Santa Cruz del Rincón"
gro,Iliatenco
gro,Tlacoapa
gro,"Atlamajalcingo del Monte"
gro,"San Luis Acatlán"
gro,Metlatónoc
gro,"Cochoapa el Grande"
gro,"Alcozauca de Guerrero"
gro,Ometepec
gro,Tlacoachistlahuaca
gro,Xochistlahuaca
gro,"Florencio Villarreal"
gro,Cuautepec
gro,Copala
gro,Azoyú
gro,Juchitán
gro,Marquelia
gro,Cuajinicuilapa
gro,"San Nicolás"
gro,Igualapa
