cve_estado,municipio
gua,Guanajuato
gua,"Silao de la Victoria"
gua,Romita
gua,"San Francisco del Rincón"
gua,"Purísima del Rincón"
gua,"Manuel Doblado"
gua,Irapuato
gua,Salamanca
gua,"Pueblo Nuevo"
gua,Pénjamo
gua,Cuerámaro
gua,Abasolo
gua,Huanímaro
gua,León
gua,"San Felipe"
gua,Ocampo
gua,"San Miguel de Allende"
gua,"Dolores Hidalgo Cuna de la Independencia Nacional"
gua,"San Diego de la Unión"
gua,"San Luis de la Paz"
gua,Victoria
gua,Xichú
gua,Atarjea
gua,"Santa Catarina"
gua,"Doctor Mora"
gua,"Tierra Blanca"
gua,"San José Iturbide"
gua,Celaya
gua,"Apaseo el Grande"
gua,Comonfort
gua,"Santa Cruz de Juventino Rosas"
gua,Villagrán
gua,Cortazar
gua,"Valle de Santiago"
gua,"Jaral del Progreso"
gua,"Apaseo el Alto"
gua,Jerécuaro
gua,Coroneo
gua,Acámbaro
gua,Tarimoro
gua,Tarandacuao
gua,Moroleón
gua,Salvatierra
gua,Yuriria
gua,"Santiago Maravatío"
gua,Uriangato
