cve_estado,municipio
hid,"Pachuca de Soto"
hid,"Mineral del Chico"
hid,"Mineral del Monte"
hid,Ajacuba
hid,"San Agustín Tlaxiaca"
hid,"Mineral de la Reforma"
hid,"Zapotlán de Juárez"
hid,"Jacala de Ledezma"
hid,Pisaflores
hid,Pacula
hid,"La Misión"
hid,Chapulhuacán
hid,Ixmiquilpan
hid,Zimapán
hid,"Nicolás Flores"
hid,Cardonal
hid,Tasquillo
hid,Alfajayucan
hid,Huichapan
hid,Tecozautla
hid,"Nopala de Villagrán"
hid,Actopan
hid,"Santiago de Anaya"
hid,"San Salvador"
hid,"Francisco I. Madero"
hid,"El Arenal"
hid,"Mixquiahuala de Juárez"
hid,"Progreso de Obregón"
hid,Chilcuautla
hid,"Tezontepec de Aldama"
hid,Tlahuelilpan
hid,"Tula de Allende"
hid,"Tepeji del Río de Ocampo"
hid,Chapantongo
hid,Tepetitlán
hid,Tetepango
hid,Tlaxcoapan
hid,Atitalaquia
hid,"Atotonilco de Tula"
hid,"Huejutla de Reyes"
hid,"San Felipe Orizatlán"
hid,Jaltocán
hid,Huautla
hid,Atlapexco
hid,Huazalingo
hid,Yahualica
hid,Xochiatipan
hid,"Molango de Escamilla"
hid,"Tepehuacán de Guerrero"
hid,Lolotla
hid,Tlanchinol
hid,Tlahuiltepa
hid,"Juárez Hidalgo"
hid,"Zacualtipán de Ángeles"
hid,Calnali
hid,Xochicoatlán
hid,Tianguistengo
hid,"Atotonilco el Grande"
hid,Eloxochitlán
hid,Metztitlán
hid,"San Agustín Metzquititlán"
hid,Metepec
hid,Huehuetla
hid,"San Bartolo Tutotepec"
hid,"Agua Blanca de Iturbide"
hid,"Tenango de Doria"
hid,"Huasca de Ocampo"
hid,Acatlán
hid,"Omitlán de Juárez"
hid,Epazoyucan
hid,"Tulancingo de Bravo"
hid,Acaxochitlán
hid,"Cuautepec de Hinojosa"
hid,"Santiago Tulantepec de Lugo Guerrero"
hid,Singuilucan
hid,Tizayuca
hid,Zempoala
hid,Tolcayuca
hid,"Villa de Tezontepec"
hid,Apan
hid,Tlanalapa
hid,Almoloya
hid,"Emiliano Zapata"
hid,Tepeapulco
