cve_estado,municipio
jal,Guadalajara
jal,Zapopan
jal,"San Cristóbal de la Barranca"
jal,"Ixtlahuacán del Río"
jal,Tala
jal,"El Arenal"
jal,Amatitán
jal,Tonalá
jal,Zapotlanejo
jal,Acatic
jal,Cuquío
jal,"San Pedro Tlaquepaque"
jal,"Tlajomulco de Zúñiga"
jal,"El Salto"
jal,"Acatlán de Juárez"
jal,"Villa Corona"
jal,"Zacoalco de Torres"
jal,"Atemajac de Brizuela"
jal,Jocotepec
jal,"Ixtlahuacán de los Membrillos"
jal,Juanacatlán
jal,Chapala
jal,Poncitlán
jal,"Zapotlán del Rey"
jal,"Huejuquilla el Alto"
jal,Mezquitic
jal,"Villa Guerrero"
jal,Bolaños
jal,Totatiche
jal,Colotlán
jal,"Santa María de los Ángeles"
jal,Huejúcar
jal,Chimaltitán
jal,"San Martín de Bolaños"
jal,Tequila
jal,Hostotipaquillo
jal,Magdalena
jal,Etzatlán
jal,"San Marcos"
jal,"San Juanito de Escobedo"
jal,Ameca
jal,"Ahualulco de Mercado"
jal,Teuchitlán
jal,"San Martín Hidalgo"
jal,Guachinango
jal,Mixtlán
jal,Mascota
jal,"San Sebastián del Oeste"
jal,"San Juan de los Lagos"
jal,Jalostotitlán
jal,"San Miguel el Alto"
jal,"San Julián"
jal,Arandas
jal,"San Ignacio Cerro Gordo"
jal,Teocaltiche
jal,"Villa Hidalgo"
jal,"Encarnación de Díaz"
jal,"Yahualica de González Gallo"
jal,Mexticacán
jal,"Cañadas de Obregón"
jal,"Valle de Guadalupe"
jal,"Lagos de Moreno"
jal,"Ojuelos de Jalisco"
jal,"Unión de San Antonio"
jal,"San Diego de Alejandría"
jal,"Tepatitlán de Morelos"
jal,Tototlán
jal,"Atotonilco el Alto"
jal,Ocotlán
jal,Jamay
jal,"La Barca"
jal,Ayotlán
jal,"Jesús María"
jal,Degollado
jal,"Unión de Tula"
jal,Ayutla
jal,Atenguillo
jal,Cuautla
jal,Atengo
jal,"Talpa de Allende"
jal,"Puerto Vallarta"
jal,"Cabo Corrientes"
jal,Tomatlán
jal,Cocula
jal,Tecolotlán
jal,Tenamaxtlán
jal,Juchitlán
jal,Chiquilistlán
jal,Ejutla
jal,"El Limón"
jal,"El Grullo"
jal,Tonaya
jal,Tuxcacuesco
jal,"Villa Purificación"
jal,"La Huerta"
jal,"Autlán de Navarro"
jal,"Casimiro Castillo"
jal,"Cuautitlán de García Barragán"
jal,Cihuatlán
jal,"Zapotlán el Grande"
jal,"Gómez Farías"
jal,"Concepción de Buenos Aires"
jal,Atoyac
jal,"Techaluta de Montenegro"
jal,"Teocuitatlán de Corona"
jal,Sayula
jal,Tapalpa
jal,Amacueca
jal,"Tizapán el Alto"
jal,Tuxcueca
jal,"La Manzanilla de la Paz"
jal,Mazamitla
jal,"Valle de Juárez"
jal,Quitupan
jal,Zapotiltic
jal,"Tamazula de Gordiano"
jal,"San Gabriel"
jal,Tolimán
jal,"Zapotitlán de Vadillo"
jal,Tuxpan
jal,Tonila
jal,Pihuamo
jal,Tecalitlán
jal,"Jilotlán de los Dolores"
jal,"Santa María del Oro"
