cve_estado,municipio
mex,Toluca
mex,"Acambay de Ruíz Castañeda"
mex,Aculco
mex,Temascalcingo
mex,Atlacomulco
mex,Timilpan
mex,Morelos
mex,"El Oro"
mex,"San Felipe del Progreso"
mex,"San José del Rincón"
mex,Jocotitlán
mex,Ixtlahuaca
mex,Jiquipilco
mex,Temoaya
mex,"Almoloya de Juárez"
mex,"Villa Victoria"
mex,"Villa de Allende"
mex,"Donato Guerra"
mex,"Ixtapan del Oro"
mex,"Santo Tomás"
mex,Otzoloapan
mex,Zacazonapan
mex,"Valle de Bravo"
mex,Amanalco
mex,Temascaltepec
mex,Zinacantepec
mex,Tejupilco
mex,Luvianos
mex,"San Simón de Guerrero"
mex,Amatepec
mex,Tlatlaya
mex,Sultepec
mex,Texcaltitlán
mex,"Coatepec Harinas"
mex,"Villa Guerrero"
mex,Zacualpan
mex,"Almoloya de Alquisiras"
mex,"Ixtapan de la Sal"
mex,Tonatico
mex,Zumpahuacán
mex,Lerma
mex,Xonacatlán
mex,Otzolotepec
mex,"San Mateo Atenco"
mex,Metepec
mex,Mexicaltzingo
mex,Calimaya
mex,Chapultepec
mex,"San Antonio la Isla"
mex,"Tenango del Valle"
mex,Rayón
mex,Joquicingo
mex,Tenancingo
mex,Malinalco
mex,Ocuilan
mex,Atizapán
mex,"Almoloya del Río"
mex,Texcalyacac
mex,Tianguistenco
mex,Xalatlaco
mex,Capulhuac
mex,Ocoyoacac
mex,Huixquilucan
mex,"Atizapán de Zaragoza"
mex,"Naucalpan de Juárez"
mex,"Tlalnepantla de Baz"
mex,Polotitlán
mex,Jilotepec
mex,"Soyaniquilpan de Juárez"
mex,"Villa del Carbón"
mex,"Chapa de Mota"
mex,"Nicolás Romero"
mex,"Isidro Fabela"
mex,Jilotzingo
mex,Tepotzotlán
mex,Coyotepec
mex,Huehuetoca
mex,"Cuautitlán Izcalli"
mex,Teoloyucan
mex,Cuautitlán
mex,"Melchor Ocampo"
mex,Tultitlán
mex,Tultepec
mex,"Ecatepec de Morelos"
mex,Zumpango
mex,Tequixquiac
mex,Apaxco
mex,Hueypoxtla
mex,"Coacalco de Berriozábal"
mex,Tecámac
mex,Jaltenco
mex,Tonanitla
mex,Nextlalpan
mex,Teotihuacán
mex,"San Martín de las Pirámides"
mex,Acolman
mex,Otumba
mex,Axapusco
mex,Nopaltepec
mex,Temascalapa
mex,Tezoyuca
mex,Chiautla
mex,Papalotla
mex,Tepetlaoxtoc
mex,Texcoco
mex,Chiconcuac
mex,Atenco
mex,Chimalhuacán
mex,Chicoloapan
mex,"La Paz"
mex,Ixtapaluca
mex,Chalco
mex,"Valle de Chalco Solidaridad"
mex,Temamatla
mex,Cocotitlán
mex,Tlalmanalco
mex,Ayapango
mex,"Tenango del Aire"
mex,Ozumba
mex,Juchitepec
mex,Tepetlixpa
mex,Amecameca
mex,Atlautla
mex,Ecatzingo
mex,Nezahualcóyotl
