cve_estado,municipio
mic,Morelia
mic,Huaniqueo
mic,Coeneo
mic,Quiroga
mic,Tzintzuntzan
mic,Lagunillas
mic,Acuitzio
mic,Madero
mic,Puruándiro
mic,"José Sixto Verduzco"
mic,Angamacutiro
mic,Panindícuaro
mic,Zacapu
mic,Tlazazalca
mic,Purépero
mic,Jiménez
mic,Morelos
mic,Huandacareo
mic,Cuitzeo
mic,Chucándiro
mic,Copándaro
mic,Tarímbaro
mic,"Santa Ana Maya"
mic,"Álvaro Obregón"
mic,Zinapécuaro
mic,Indaparapeo
mic,Queréndaro
mic,Sahuayo
mic,Briseñas
mic,"Cojumatlán de Régules"
mic,"Venustiano Carranza"
mic,Pajacuarán
mic,"Vista Hermosa"
mic,Tanhuato
mic,Yurécuaro
mic,Ixtlán
mic,"La Piedad"
mic,Numarán
mic,Churintzio
mic,Zináparo
mic,Penjamillo
mic,"Marcos Castellanos"
mic,Jiquilpan
mic,Villamar
mic,Chavinda
mic,Zamora
mic,Ecuandureo
mic,Tangancícuaro
mic,Chilchota
mic,Jacona
mic,Tangamandapio
mic,Cotija
mic,Tocumbo
mic,Tingüindín
mic,Uruapan
mic,Charapan
mic,Paracho
mic,Cherán
mic,Nahuatzen
mic,Tingambato
mic,"Los Reyes"
mic,Peribán
mic,Tancítaro
mic,"Nuevo Parangaricutiro"
mic,Buenavista
mic,Tepalcatepec
mic,Aguililla
mic,Apatzingán
mic,Parácuaro
mic,Coahuayana
mic,Chinicuila
mic,"Coalcomán de Vázquez Pallares"
mic,Aquila
mic,Tumbiscatío
mic,Arteaga
mic,"Lázaro Cárdenas"
mic,"Epitacio Huerta"
mic,Contepec
mic,Tlalpujahua
mic,Hidalgo
mic,Maravatío
mic,Irimbo
mic,Senguio
mic,Charo
mic,Tzitzio
mic,"Tiquicheo de Nicolás Romero"
mic,Aporo
mic,Angangueo
mic,Tuxpan
mic,Ocampo
mic,Jungapeo
mic,Zitácuaro
mic,Tuzantla
mic,Juárez
mic,Susupuato
mic,Pátzcuaro
mic,Erongarícuaro
mic,Huiramba
mic,Tacámbaro
mic,Turicato
mic,Ziracuaretiro
mic,Taretan
mic,"Gabriel Zamora"
mic,"Nuevo Urecho"
mic,Múgica
mic,"Salvador Escalante"
mic,Ario
mic,"La Huacana"
mic,Churumuco
mic,Nocupétaro
mic,Carácuaro
mic,Huetamo
mic,"San Lucas"
