cve_estado,municipio
mor,Cuernavaca
mor,Huitzilac
mor,Tepoztlán
mor,Tlalnepantla
mor,Tlayacapan
mor,Jiutepec
mor,Temixco
mor,Miacatlán
mor,Coatetelco
mor,"Coatlán del Río"
mor,Tetecala
mor,Mazatepec
mor,Amacuzac
mor,"Puente de Ixtla"
mor,Xoxocotla
mor,Ayala
mor,Yautepec
mor,Cuautla
mor,"Emiliano Zapata"
mor,"Tlaltizapán de Zapata"
mor,Zacatepec
mor,Xochitepec
mor,"Tetela del Volcán"
mor,Hueyapan
mor,Yecapixtla
mor,Totolapan
mor,Atlatlahucan
mor,Ocuituco
mor,Temoac
mor,"Zacualpan de Amilpas"
mor,Jojutla
mor,Tepalcingo
mor,"Jonacatepec de Leandro Valle"
mor,Axochiapan
mor,Jantetelco
mor,Tlaquiltenango
