cve_estado,municipio
nle,Monterrey
nle,Anáhuac
nle,"Lampazos de Naranjo"
nle,Mina
nle,Bustamante
nle,"Sabinas Hidalgo"
nle,Villaldama
nle,Vallecillo
nle,Parás
nle,"Salinas Victoria"
nle,"Ciénega de Flores"
nle,Hidalgo
nle,Abasolo
nle,Higueras
nle,"General Zuazua"
nle,Agualeguas
nle,"General Treviño"
nle,Cerralvo
nle,"Melchor Ocampo"
nle,García
nle,"General Escobedo"
nle,"Santa Catarina"
nle,"San Pedro Garza García"
nle,"San Nicolás de los Garza"
nle,"El Carmen"
nle,Apodaca
nle,Pesquería
nle,Marín
nle,"Doctor González"
nle,"Los Ramones"
nle,"Los Herreras"
nle,"Los Aldamas"
nle,"Doctor Coss"
nle,"General Bravo"
nle,China
nle,Guadalupe
nle,Juárez
nle,Santiago
nle,Allende
nle,"General Terán"
nle,"Cadereyta Jiménez"
nle,Montemorelos
nle,Rayones
nle,Linares
nle,Iturbide
nle,Galeana
nle,Hualahuises
nle,"Doctor Arroyo"
nle,Aramberri
nle,"General Zaragoza"
nle,"Mier y Noriega"
