cve_estado,municipio
oax,"Oaxaca de Juárez"
oax,"Villa de Etla"
oax,"San Juan Bautista Atatlahuca"
oax,"San Jerónimo Sosola"
oax,"San Juan Bautista Jayacatlán"
oax,"San Francisco Telixtlahuaca"
oax,"Santiago Tenango"
oax,"San Pablo Huitzo"
oax,"San Juan del Estado"
oax,"Magdalena Apasco"
oax,"Santiago Suchilquitongo"
oax,"San Juan Bautista Guelache"
oax,"Reyes Etla"
oax,"Nazareno Etla"
oax,"San Andrés Zautla"
oax,"San Agustín Etla"
oax,"Soledad Etla"
oax,"Santo Tomás Mazaltepec"
oax,"Guadalupe Etla"
oax,"San Pablo Etla"
oax,"San Felipe Tejalápam"
oax,"San Lorenzo Cacaotepec"
oax,"Santa María Peñoles"
oax,"Santiago Tlazoyaltepec"
oax,"Tlalixtac de Cabrera"
oax,"San Jacinto Amilpas"
oax,"San Andrés Huayápam"
oax,"San Agustín Yatareni"
oax,"Santo Domingo Tomaltepec"
oax,"Santa María del Tule"
oax,"San Juan Bautista Tuxtepec"
oax,"Loma Bonita"
oax,"San José Independencia"
oax,Cosolapa
oax,"Acatlán de Pérez Figueroa"
oax,"San Miguel Soyaltepec"
oax,Ayotzintepec
oax,"San Pedro Ixcatlán"
oax,"San José Chiltepec"
oax,"San Felipe Jalapa de Díaz"
oax,"Santa María Jacatepec"
oax,"San Lucas Ojitlán"
oax,"San Juan Bautista Valle Nacional"
oax,"San Felipe Usila"
oax,"Huautla de Jiménez"
oax,"Santa María Chilchotla"
oax,"Santa Ana Ateixtlahuaca"
oax,"San Lorenzo Cuaunecuiltitla"
oax,"San Francisco Huehuetlán"
oax,"San Pedro Ocopetatillo"
oax,"Santa Cruz Acatepec"
oax,"Eloxochitlán de Flores Magón"
oax,"Santiago Texcalcingo"
oax,"Teotitlán de Flores Magón"
oax,"Santa María Teopoxco"
oax,"San Martín Toxpalan"
oax,"San Jerónimo Tecóatl"
oax,"Santa María la Asunción"
oax,Huautepec
oax,"San Juan Coatzóspam"
oax,"San Lucas Zoquiápam"
oax,"San Antonio Nanahuatípam"
oax,"San José Tenango"
oax,"San Mateo Yoloxochitlán"
oax,"San Bartolomé Ayautla"
oax,"Mazatlán Villa de Flores"
oax,"San Juan de los Cués"
oax,"Santa María Tecomavaca"
oax,"Santa María Ixcatlán"
oax,"San Juan Bautista Cuicatlán"
oax,"Cuyamecalco Villa de Zaragoza"
oax,"Santa Ana Cuauhtémoc"
oax,"Chiquihuitlán de Benito Juárez"
oax,"San Pedro Teutila"
oax,"San Miguel Santa Flor"
oax,"Santa María Tlalixtac"
oax,"San Andrés Teotilálpam"
oax,"San Francisco Chapulapa"
oax,"Concepción Pápalo"
oax,"Santos Reyes Pápalo"
oax,"San Juan Bautista Tlacoatzintepec"
oax,"Santa María Pápalo"
oax,"San Juan Tepeuxila"
oax,"San Pedro Sochiápam"
oax,"Valerio Trujano"
oax,"San Pedro Jocotipac"
oax,"Santa María Texcatitlán"
oax,"San Pedro Jaltepetongo"
oax,"Santiago Nacaltepec"
oax,Natividad
oax,"San Juan Quiotepec"
oax,"San Pedro Yólox"
oax,"Santiago Comaltepec"
oax,Abejones
oax,"San Pablo Macuiltianguis"
oax,"Ixtlán de Juárez"
oax,"San Juan Atepec"
oax,"San Pedro Yaneri"
oax,"San Miguel Aloápam"
oax,"Teococuilco de Marcos Pérez"
oax,"Santa Ana Yareni"
oax,"San Juan Evangelista Analco"
oax,"Santa María Jaltianguis"
oax,"San Miguel del Río"
oax,"San Juan Chicomezúchil"
oax,"Capulálpam de Méndez"
oax,"Nuevo Zoquiápam"
oax,"Santiago Xiacuí"
oax,"Guelatao de Juárez"
oax,"Santa Catarina Ixtepeji"
oax,"San Miguel Yotao"
oax,"Santa Catarina Lachatao"
oax,"San Miguel Amatlán"
oax,"Santa María Yavesía"
oax,"Santiago Laxopa"
oax,"San Ildefonso Villa Alta"
oax,"Santiago Camotlán"
oax,"San Juan Yaeé"
oax,"Santiago Lalopa"
oax,"San Juan Yatzona"
oax,"Villa Talea de Castro"
oax,"Tanetze de Zaragoza"
oax,"San Juan Juquila Vijanos"
oax,"San Cristóbal Lachirioag"
oax,"Santa María Temaxcalapa"
oax,"Santo Domingo Roayaga"
oax,"Santa María Yalina"
oax,"San Andrés Solaga"
oax,"San Juan Tabaá"
oax,"San Melchor Betaza"
oax,"San Andrés Yaá"
oax,"San Bartolomé Zoogocho"
oax,"San Baltazar Yatzachi el Bajo"
oax,"Santiago Zoochila"
oax,"Villa Hidalgo Yalálag"
oax,"San Francisco Cajonos"
oax,"San Mateo Cajonos"
oax,"San Pedro Cajonos"
oax,"Santo Domingo Xagacía"
oax,"San Pablo Yaganiza"
oax,"Santiago Choápam"
oax,"Santiago Jocotepec"
oax,"San Juan Lalana"
oax,"Santiago Yaveo"
oax,"San Juan Petlapa"
oax,"San Juan Comaltepec"
oax,"Heroica Ciudad de Huajuapan de León"
oax,"Villa de Santiago Chazumba"
oax,Cosoltepec
oax,"San Pedro y San Pablo Tequixtepec"
oax,"San Juan Bautista Suchitepec"
oax,"Santa Catarina Zapoquila"
oax,"Santiago Miltepec"
oax,"San Jerónimo Silacayoapilla"
oax,"Zapotitlán Palmas"
oax,"San Andrés Dinicuiti"
oax,"Santiago Cacaloxtepec"
oax,"Asunción Cuyotepeji"
oax,"Santa María Camotlán"
oax,"Santiago Huajolotitlán"
oax,"Santiago Tamazola"
oax,"San Juan Cieneguilla"
oax,"Zapotitlán Lagunas"
oax,"San Juan Ihualtepec"
oax,"San Nicolás Hidalgo"
oax,"Guadalupe de Ramírez"
oax,"San Andrés Tepetlapa"
oax,"San Miguel Ahuehuetitlán"
oax,"San Mateo Nejápam"
oax,"San Juan Bautista Tlachichilco"
oax,"Tezoatlán de Segura y Luna"
oax,"Fresnillo de Trujano"
oax,"Santiago Ayuquililla"
oax,"San José Ayuquila"
oax,"San Martín Zacatepec"
oax,"San Miguel Amatitlán"
oax,"Mariscala de Juárez"
oax,"Santa Cruz Tacache de Mina"
oax,"San Simón Zahuatlán"
oax,"San Marcos Arteaga"
oax,"San Jorge Nuchita"
oax,"Santos Reyes Yucuná"
oax,"Santo Domingo Tonalá"
oax,"Santo Domingo Yodohino"
oax,"San Juan Bautista Coixtlahuaca"
oax,"Tepelmeme Villa de Morelos"
oax,"Concepción Buenavista"
oax,"Santiago Ihuitlán Plumas"
oax,"Tlacotepec Plumas"
oax,"San Francisco Teopan"
oax,"Santa Magdalena Jicotlán"
oax,"San Mateo Tlapiltepec"
oax,"San Miguel Tequixtepec"
oax,"San Miguel Tulancingo"
oax,"Santiago Tepetlapa"
oax,"San Cristóbal Suchixtlahuaca"
oax,"Santa María Nativitas"
oax,Silacayoápam
oax,"Santiago Yucuyachi"
oax,"San Lorenzo Victoria"
oax,"San Agustín Atenango"
oax,Calihualá
oax,"Santa Cruz de Bravo"
oax,"Ixpantepec Nieves"
oax,"San Francisco Tlapancingo"
oax,"Santiago del Río"
oax,"San Pedro y San Pablo Teposcolula"
oax,"La Trinidad Vista Hermosa"
oax,"Villa de Tamazulápam del Progreso"
oax,"San Pedro Nopala"
oax,Teotongo
oax,"San Antonio Acutla"
oax,"Villa Tejúpam de la Unión"
oax,"Santo Domingo Tonaltepec"
oax,"Villa de Chilapa de Díaz"
oax,"San Antonino Monte Verde"
oax,"San Andrés Lagunas"
oax,"San Pedro Yucunama"
oax,"San Juan Teposcolula"
oax,"San Bartolo Soyaltepec"
oax,"Santiago Yolomécatl"
oax,"San Sebastián Nicananduta"
oax,"Santo Domingo Tlatayápam"
oax,"Santa María Nduayaco"
oax,"San Vicente Nuñú"
oax,"San Pedro Topiltepec"
oax,"Santiago Nejapilla"
oax,"Asunción Nochixtlán"
oax,"San Miguel Huautla"
oax,"San Miguel Chicahua"
oax,"Santa María Apazco"
oax,"Santiago Apoala"
oax,"Santa María Chachoápam"
oax,"San Pedro Coxcaltepec Cántaros"
oax,"Santiago Huauclilla"
oax,"Santo Domingo Yanhuitlán"
oax,"San Andrés Sinaxtla"
oax,"San Juan Yucuita"
oax,"San Juan Sayultepec"
oax,"Santiago Tillo"
