cve_estado,municipio
pue,Puebla
pue,Tlaltenango
pue,"San Miguel Xoxtla"
pue,"Juan C. Bonilla"
pue,Coronango
pue,Cuautlancingo
pue,"San Pedro Cholula"
pue,"San Andrés Cholula"
pue,Ocoyucan
pue,Amozoc
pue,"Francisco Z. Mena"
pue,Pantepec
pue,"Venustiano Carranza"
pue,Jalpan
pue,Tlaxco
pue,Tlacuilotepec
pue,Xicotepec
pue,Pahuatlán
pue,Honey
pue,Naupan
pue,Huauchinango
pue,Ahuazotepec
pue,"Juan Galindo"
pue,Tlaola
pue,Zihuateutla
pue,Jopala
pue,Tlapacoya
pue,Chignahuapan
pue,Zacatlán
pue,Chiconcuautla
pue,Ahuacatlán
pue,Tepetzintla
pue,"San Felipe Tepatlán"
pue,Amixtlán
pue,"Tepango de Rodríguez"
pue,Zongozotla
pue,"Hermenegildo Galeana"
pue,Olintla
pue,Coatepec
pue,Camocuautla
pue,Hueytlalpan
pue,"Zapotitlán de Méndez"
pue,"Huitzilan de Serdán"
pue,"Xochitlán de Vicente Suárez"
pue,Huehuetla
pue,Ixtepec
pue,Atlequizayan
pue,Tenampulco
pue,"Tuzamapan de Galeana"
pue,Caxhuacan
pue,Jonotla
pue,Zoquiapan
pue,Nauzontla
pue,"Cuetzalan del Progreso"
pue,"Ayotoxco de Guerrero"
pue,Hueytamalco
pue,Acateno
pue,Cuautempan
pue,Aquixtla
pue,"Tetela de Ocampo"
pue,Xochiapulco
pue,Zacapoaxtla
pue,Zaragoza
pue,Ixtacamaxtitlán
pue,Zautla
pue,Ocotepec
pue,Libres
pue,Teziutlán
pue,Tlatlauquitepec
pue,Yaonáhuac
pue,Hueyapan
pue,"Teteles de Ávila Castillo"
pue,Atempan
pue,Chignautla
pue,Xiutetelco
pue,Cuyoaco
pue,Tepeyahualco
pue,"San Martín Texmelucan"
pue,Tlahuapan
pue,"San Matías Tlalancaleca"
pue,"San Salvador el Verde"
pue,"San Felipe Teotlalcingo"
pue,Chiautzingo
pue,Huejotzingo
pue,"Domingo Arenas"
pue,Calpan
pue,"San Nicolás de los Ranchos"
pue,Atlixco
pue,Nealtican
pue,"San Jerónimo Tecuanipan"
pue,"San Gregorio Atzompa"
pue,Tochimilco
pue,Tianguismanalco
pue,"Santa Isabel Cholula"
pue,Huaquechula
pue,"San Diego la Mesa Tochimiltzingo"
pue,Tepeojuma
pue,"Izúcar de Matamoros"
pue,Atzitzihuacán
pue,Acteopan
pue,Cohuecan
pue,Tepemaxalco
pue,Tlapanalá
pue,Tepexco
pue,Tilapa
pue,Chietla
pue,Atzala
pue,Teopantlán
pue,"San Martín Totoltepec"
pue,Xochiltepec
pue,Epatlán
pue,Ahuatlán
pue,Coatzingo
pue,"Santa Catarina Tlaltempan"
pue,Chigmecatitlán
pue,Zacapala
pue,"Tepexi de Rodríguez"
pue,Teotlalco
pue,Jolalpan
pue,"Huehuetlán el Chico"
pue,Chiautla
pue,Cohetzala
pue,Xicotlán
pue,"Chila de la Sal"
pue,"Ixcamilpa de Guerrero"
pue,"Albino Zertuche"
pue,Tulcingo
pue,Tehuitzingo
pue,"Cuayuca de Andrade"
pue,"Santa Inés Ahuatempan"
pue,Axutla
pue,Chinantla
pue,Ahuehuetitla
pue,"San Pablo Anicano"
pue,Tecomatlán
pue,Piaxtla
pue,Guadalupe
pue,Ixcaquixtla
pue,Coyotepec
pue,"Xayacatlán de Bravo"
pue,"Totoltepec de Guerrero"
pue,Acatlán
pue,"San Jerónimo Xayacatlán"
pue,"San Pedro Yeloixtlahuaca"
pue,Petlalcingo
pue,"San Miguel Ixitlán"
pue,Chila
pue,"Rafael Lara Grajales"
pue,"San José Chiapa"
pue,Oriental
pue,"San Nicolás Buenos Aires"
pue,"Guadalupe Victoria"
pue,Tlachichuca
pue,Lafragua
pue,Chilchotla
pue,Quimixtlán
pue,Chichiquila
pue,"Tepatlaxco de Hidalgo"
pue,Acajete
pue,Nopalucan
pue,"Mazapiltepec de Juárez"
pue,Soltepec
pue,Acatzingo
pue,"San Salvador el Seco"
pue,"General Felipe Ángeles"
pue,Aljojuca
pue,"San Juan Atenco"
pue,Tepeaca
pue,Cuautinchán
pue,"Tecali de Herrera"
pue,Mixtla
pue,"Santo Tomás Hueyotlipan"
pue,Tzicatlacoyan
pue,"Huehuetlán el Grande"
pue,"La Magdalena Tlatlauquitepec"
pue,"San Juan Atzompa"
pue,Huatlatlauca
pue,"Los Reyes de Juárez"
pue,"Cuapiaxtla de Madero"
pue,"San Salvador Huixcolotla"
pue,Quecholac
pue,Tecamachalco
pue,"Palmar de Bravo"
pue,"Chalchicomula de Sesma"
pue,Atzitzintla
pue,Esperanza
pue,"Cañada Morelos"
pue,Tlanepantla
pue,Tochtepec
pue,Atoyatempan
pue,"Tepeyahualco de Cuauhtémoc"
pue,Huitziltepec
pue,Molcaxac
pue,"Xochitlán Todos Santos"
pue,Yehualtepec
pue,"Tlacotepec de Benito Juárez"
pue,"Juan N. Méndez"
pue,Tehuacán
pue,"Tepanco de López"
pue,Chapulco
pue,"Santiago Miahuatlán"
pue,"Nicolás Bravo"
pue,Atexcal
pue,"San Antonio Cañada"
pue,Zapotitlán
pue,"San Gabriel Chilac"
pue,Caltepec
pue,"Vicente Guerrero"
pue,Ajalpan
pue,Eloxochitlán
pue,Zoquitlán
pue,"San Sebastián Tlacotepec"
pue,Altepexi
pue,Zinacatepec
pue,"San José Miahuatlán"
pue,Coxcatlán
pue,Coyomeapan
