cve_estado,municipio
slp,"San Luis Potosí"
slp,"Soledad de Graciano Sánchez"
slp,"Cerro de San Pedro"
slp,"Ahualulco del Sonido 13"
slp,"Mexquitic de Carmona"
slp,"Villa de Arriaga"
slp,Vanegas
slp,Cedral
slp,Catorce
slp,Charcas
slp,Salinas
slp,"Santo Domingo"
slp,"Villa de Ramos"
slp,Matehuala
slp,"Villa de la Paz"
slp,"Villa de Guadalupe"
slp,Guadalcázar
slp,Moctezuma
slp,Venado
slp,"Villa de Arista"
slp,"Villa Hidalgo"
slp,"Armadillo de los Infante"
slp,"Ciudad Valles"
slp,Ebano
slp,Tamuín
slp,"El Naranjo"
slp,"Ciudad del Maíz"
slp,Alaquines
slp,Cárdenas
slp,Cerritos
slp,"Villa Juárez"
slp,"San Nicolás Tolentino"
slp,"Villa de Reyes"
slp,Zaragoza
slp,"Santa María del Río"
slp,"Tierra Nueva"
slp,Rioverde
slp,"Ciudad Fernández"
slp,"San Ciro de Acosta"
slp,Tamasopo
slp,Rayón
slp,Aquismón
slp,Lagunillas
slp,"Santa Catarina"
slp,Tancanhuitz
slp,Tanlajás
slp,"San Vicente Tancuayalab"
slp,"San Antonio"
slp,"Tanquián de Escobedo"
slp,"Tampamolón Corona"
slp,Coxcatlán
slp,Huehuetlán
slp,Xilitla
slp,"Axtla de Terrazas"
slp,Tampacán
slp,"San Martín Chalchicuautla"
slp,Tamazunchale
slp,Matlapa
