cve_estado,municipio
son,Hermosillo
son,"San Miguel de Horcasitas"
son,Carbó
son,"San Luis Río Colorado"
son,"Puerto Peñasco"
son,"General Plutarco Elías Calles"
son,Caborca
son,Altar
son,Tubutama
son,Atil
son,Oquitoa
son,Sáric
son,"Benjamín Hill"
son,Trincheras
son,Pitiquito
son,Nogales
son,Imuris
son,"Santa Cruz"
son,Magdalena
son,Naco
son,"Agua Prieta"
son,Fronteras
son,"Nacozari de García"
son,Bavispe
son,Bacerac
son,Huachinera
son,"Nácori Chico"
son,Granados
son,Bacadéhuachi
son,Cumpas
son,Huásabas
son,Moctezuma
son,"Villa Hidalgo"
son,"Santa Ana"
son,Cananea
son,Arizpe
son,Cucurpe
son,Bacoachi
son,"San Pedro de la Cueva"
son,Divisaderos
son,Tepache
son,"Villa Pesqueira"
son,Opodepe
son,Huépac
son,Banámichi
son,Ures
son,Aconchi
son,Baviácora
son,"San Felipe de Jesús"
son,Rayón
son,Cajeme
son,Navojoa
son,Huatabampo
son,Bácum
son,Etchojoa
son,"Benito Juárez"
son,Empalme
son,Guaymas
son,"San Ignacio Río Muerto"
son,"La Colorada"
son,Mazatán
son,"Suaqui Grande"
son,Sahuaripa
son,"San Javier"
son,Soyopa
son,Bacanora
son,Arivechi
son,Rosario
son,Quiriego
son,Ónavas
son,Álamos
son,Yécora
