cve_estado,municipio
tam,Victoria
tam,Llera
tam,Güémez
tam,Casas
tam,Matamoros
tam,"Valle Hermoso"
tam,"San Fernando"
tam,Cruillas
tam,"San Nicolás"
tam,"Soto la Marina"
tam,Jiménez
tam,"San Carlos"
tam,Abasolo
tam,Padilla
tam,Hidalgo
tam,Mainero
tam,Villagrán
tam,Tula
tam,Jaumave
tam,Miquihuana
tam,Bustamante
tam,Palmillas
tam,Ocampo
tam,"Nuevo Laredo"
tam,"Miguel Alemán"
tam,Guerrero
tam,Mier
tam,"Gustavo Díaz Ordaz"
tam,Camargo
tam,Reynosa
tam,"Río Bravo"
tam,Méndez
tam,Burgos
tam,Tampico
tam,"Ciudad Madero"
tam,Altamira
tam,Aldama
tam,González
tam,Xicoténcatl
tam,"Gómez Farías"
tam,"El Mante"
tam,"Antiguo Morelos"
tam,"Nuevo Morelos"
