cve_estado,municipio
tla,Tlaxcala
tla,"Ixtacuixtla de Mariano Matamoros"
tla,"Santa Ana Nopalucan"
tla,Panotla
tla,Totolac
tla,Tepeyanco
tla,"Santa Isabel Xiloxoxtla"
tla,"San Juan Huactzinco"
tla,Calpulalpan
tla,"Sanctórum de Lázaro Cárdenas"
tla,"Benito Juárez"
tla,Hueyotlipan
tla,Tlaxco
tla,"Nanacamilpa de Mariano Arista"
tla,Españita
tla,Apizaco
tla,Atlangatepec
tla,"Muñoz de Domingo Arenas"
tla,"Tetla de la Solidaridad"
tla,Xaltocan
tla,"San Lucas Tecopilco"
tla,Yauhquemehcan
tla,Xaloztoc
tla,Tocatlán
tla,Tzompantepec
tla,"San José Teacalco"
tla,Huamantla
tla,Terrenate
tla,"Lázaro Cárdenas"
tla,"Emiliano Zapata"
tla,Atltzayanca
tla,Cuapiaxtla
tla,"El Carmen Tequexquitla"
tla,Ixtenco
tla,"Ziltlaltépec de Trinidad Sánchez Santos"
tla,"Apetatitlán de Antonio Carvajal"
tla,"Amaxac de Guerrero"
tla,"Santa Cruz Tlaxcala"
tla,Cuaxomulco
tla,"Contla de Juan Cuamatzi"
tla,"Tepetitla de Lardizábal"
tla,Natívitas
tla,"Santa Apolonia Teacalco"
tla,Tetlatlahuca
tla,"San Damián Texóloc"
tla,"San Jerónimo Zacualpan"
tla,Zacatelco
tla,"San Lorenzo Axocomanitla"
tla,"Santa Catarina Ayometla"
tla,Xicohtzinco
tla,"Papalotla de Xicohténcatl"
tla,Chiautempan
tla,"La Magdalena Tlaltelulco"
tla,"San Francisco Tetlanohcan"
tla,Teolocholco
tla,"Acuamanala de Miguel Hidalgo"
tla,"Santa Cruz Quilehtla"
tla,"Mazatecochco de José María Morelos"
tla,Tenancingo
tla,"San Pablo del Monte"
