cve_estado,municipio
ver,Xalapa
ver,Tlalnelhuayocan
ver,Xico
ver,"Ixhuacán de los Reyes"
ver,Ayahualulco
ver,Perote
ver,Banderilla
ver,"Rafael Lucio"
ver,Acajete
ver,"Las Vigas de Ramírez"
ver,"Villa Aldama"
ver,Tlacolulan
ver,Tonayán
ver,Coacoatzintla
ver,Jilotepec
ver,Naolinco
ver,Miahuatlán
ver,Acatlán
ver,Tepetlán
ver,"Juchique de Ferrer"
ver,"Alto Lucero de Gutiérrez Barrios"
ver,Actopan
ver,Coatepec
ver,Teocelo
ver,"Cosautlán de Carvajal"
ver,"Emiliano Zapata"
ver,Apazapan
ver,"Puente Nacional"
ver,"Ursulo Galván"
ver,"Paso de Ovejas"
ver,"La Antigua"
ver,Veracruz
ver,Pánuco
ver,"Pueblo Viejo"
ver,"Tampico Alto"
ver,Tempoal
ver,"Ozuluama de Mascareñas"
ver,Tantoyuca
ver,"Platón Sánchez"
ver,Chiconamel
ver,Chalma
ver,Chontla
ver,Citlaltépetl
ver,Ixcatepec
ver,"Naranjos Amatlán"
ver,"El Higo"
ver,"Chinampa de Gorostiza"
ver,Tantima
ver,Tamalín
ver,"Cerro Azul"
ver,Tepetzintla
ver,Tancoco
ver,Tamiahua
ver,Huayacocotla
ver,Ilamatlán
ver,"Zontecomatlán de López y Fuentes"
ver,Texcatepec
ver,Zacualpan
ver,"Benito Juárez"
ver,Tlachichilco
ver,"Ixhuatlán de Madero"
ver,Chicontepec
ver,"Álamo Temapache"
ver,Tuxpan
ver,Tihuatlán
ver,"Castillo de Teayo"
ver,"Cazones de Herrera"
ver,"Zozocolco de Hidalgo"
ver,Chumatlán
ver,Coxquihui
ver,Mecatlán
ver,"Filomeno Mata"
ver,Coahuitlán
ver,Coyutla
ver,Coatzintla
ver,Espinal
ver,"Poza Rica de Hidalgo"
ver,Papantla
ver,"Gutiérrez Zamora"
ver,Tecolutla
ver,"Martínez de la Torre"
ver,"San Rafael"
ver,Tlapacoyan
ver,Jalacingo
ver,Atzalan
ver,Altotonga
ver,"Las Minas"
ver,Tatatila
ver,Tenochtitlán
ver,Nautla
ver,Misantla
ver,"Landero y Coss"
ver,Chiconquiaco
ver,Yecuatla
ver,Colipa
ver,"Vega de Alatorre"
ver,Jalcomulco
ver,Tlaltetela
ver,Tenampa
ver,Totutla
ver,Sochiapa
ver,"Tlacotepec de Mejía"
ver,Huatusco
ver,Calcahualco
ver,Alpatláhuac
ver,Coscomatepec
ver,"La Perla"
ver,Chocamán
ver,Tomatlán
ver,"Ixhuatlán del Café"
ver,Tepatlaxco
ver,Comapa
ver,Zentla
ver,"Camarón de Tejeda"
ver,"Soledad de Doblado"
ver,"Manlio Fabio Altamirano"
ver,Jamapa
ver,"Medellín de Bravo"
ver,"Boca del Río"
ver,Orizaba
ver,"Rafael Delgado"
ver,"Mariano Escobedo"
ver,Ixhuatlancillo
ver,Atzacan
ver,Ixtaczoquitlán
ver,Fortín
ver,Córdoba
ver,Maltrata
ver,Nogales
ver,"Río Blanco"
ver,"Camerino Z. Mendoza"
ver,Aquila
ver,Acultzingo
ver,"Soledad Atzompa"
ver,"Huiloapan de Cuauhtémoc"
ver,Tlaquilpa
ver,Astacinga
ver,Xoxocotla
ver,Atlahuilco
ver,Tequila
ver,"San Andrés Tenejapan"
ver,Tlilapan
ver,Magdalena
ver,Naranjal
ver,Coetzala
ver,Omealca
ver,Cuitláhuac
ver,Cuichapa
ver,Yanga
ver,"Amatlán de los Reyes"
ver,Atoyac
ver,"Paso del Macho"
ver,"Carrillo Puerto"
ver,Cotaxtla
ver,Zongolica
ver,Tehuipango
ver,"Mixtla de Altamirano"
ver,"Los Reyes"
ver,Texhuacán
ver,Tezonapa
ver,"Tierra Blanca"
ver,Tlalixcoyan
ver,"Ignacio de la Llave"
ver,Alvarado
ver,"Lerdo de Tejada"
ver,"Tres Valles"
ver,"Carlos A. Carrillo"
ver,"Cosamaloapan de Carpio"
ver,Ixmatlahuacan
ver,Acula
ver,Amatitlán
ver,Tlacotalpan
ver,Saltabarranca
ver,Otatitlán
ver,Tlacojalpan
ver,Tuxtilla
ver,Chacaltianguis
ver,"José Azueta"
ver,"Playa Vicente"
ver,"Santiago Sochiapan"
ver,Isla
ver,"Juan Rodríguez Clara"
ver,"San Andrés Tuxtla"
ver,"Santiago Tuxtla"
ver,"Angel R. Cabada"
ver,"Hueyapan de Ocampo"
ver,Catemaco
ver,Soteapan
ver,Mecayapan
ver,"Tatahuicapan de Juárez"
ver,Pajapan
ver,Chinameca
ver,Acayucan
ver,"San Juan Evangelista"
ver,"Sayula de Alemán"
ver,Oluta
ver,Soconusco
ver,Texistepec
ver,Jáltipan
ver,Zaragoza
ver,Oteapan
ver,Cosoleacaque
ver,"Nanchital de Lázaro Cárdenas del Río"
ver,"Ixhuatlán del Sureste"
ver,Moloacán
ver,Coatzacoalcos
ver,"Agua Dulce"
ver,Minatitlán
ver,Hidalgotitlán
ver,"Jesús Carranza"
ver,"Las Choapas"
ver,Uxpanapa
