cve_estado,municipio
yuc,Mérida
yuc,Progreso
yuc,"Chicxulub Pueblo"
yuc,Ixil
yuc,Conkal
yuc,Yaxkukul
yuc,Hunucmá
yuc,Ucú
yuc,Kinchil
yuc,Tetiz
yuc,Celestún
yuc,Kanasín
yuc,Timucuy
yuc,Acanceh
yuc,Tixpéhual
yuc,Umán
yuc,"Telchac Pueblo"
yuc,Dzemul
yuc,"Telchac Puerto"
yuc,Cansahcab
yuc,Sinanché
yuc,Yobaín
yuc,Motul
yuc,Baca
yuc,Mocochá
yuc,Muxupip
yuc,Cacalchén
yuc,Bokobá
yuc,Tixkokob
yuc,Hoctún
yuc,Tahmek
yuc,Dzidzantún
yuc,Temax
yuc,Tekantó
yuc,Teya
yuc,Suma
yuc,Tepakán
yuc,"Tekal de Venegas"
yuc,Izamal
yuc,Hocabá
yuc,Xocchel
yuc,Seyé
yuc,Cuzamá
yuc,Homún
yuc,Sanahcat
yuc,Huhí
yuc,"Dzilam González"
yuc,"Dzilam de Bravo"
yuc,Panabá
yuc,"San Felipe"
yuc,Buctzotz
yuc,Sucilá
yuc,Cenotillo
yuc,Dzoncauich
yuc,Tunkás
yuc,"Quintana Roo"
yuc,Dzitás
yuc,Kantunil
yuc,Sudzal
yuc,Tekit
yuc,Sotuta
yuc,Tizimín
yuc,"Río Lagartos"
yuc,Espita
yuc,Temozón
yuc,Calotmul
yuc,Tinum
yuc,Chankom
yuc,Chichimilá
yuc,Tixcacalcupul
yuc,Kaua
yuc,Cuncunul
yuc,Tekom
yuc,Chemax
yuc,Valladolid
yuc,Uayma
yuc,Maxcanú
yuc,Samahil
yuc,Opichén
yuc,Chocholá
yuc,Kopomá
yuc,Tecoh
yuc,Abalá
yuc,Halachó
yuc,Muna
yuc,Sacalum
yuc,Maní
yuc,Dzan
yuc,Chapab
yuc,Ticul
yuc,Oxkutzcab
yuc,"Santa Elena"
yuc,Mama
yuc,Chumayel
yuc,Mayapán
yuc,Teabo
yuc,Cantamayec
yuc,Yaxcabá
yuc,Peto
yuc,Chikindzonot
yuc,Tahdziú
yuc,Tixméhuac
yuc,Chacsinkín
yuc,Tzucacab
yuc,Tekax
yuc,Akil
