cve_estado,municipio
zac,Zacatecas
zac,Morelos
zac,Vetagrande
zac,"Concepción del Oro"
zac,"Melchor Ocampo"
zac,Mazapil
zac,"El Salvador"
zac,"Juan Aldama"
zac,"Miguel Auza"
zac,"General Francisco R. Murguía"
zac,"Río Grande"
zac,"Villa de Cos"
zac,"Cañitas de Felipe Pescador"
zac,Calera
zac,Pánuco
zac,"General Enrique Estrada"
zac,Guadalupe
zac,Trancoso
zac,"Genaro Codina"
zac,Cuauhtémoc
zac,Ojocaliente
zac,"General Pánfilo Natera"
zac,"Luis Moya"
zac,Loreto
zac,"Villa González Ortega"
zac,"Noria de Ángeles"
zac,"Villa García"
zac,Pinos
zac,"Villa Hidalgo"
zac,Fresnillo
zac,Sombrerete
zac,"Sain Alto"
zac,Valparaíso
zac,Chalchihuites
zac,"Jiménez del Teul"
zac,Jerez
zac,"Monte Escobedo"
zac,Susticacán
zac,Villanueva
zac,Tepetongo
zac,"El Plateado de Joaquín Amaro"
zac,Jalpa
zac,Tabasco
zac,Huanusco
zac,"Tlaltenango de Sánchez Román"
zac,Momax
zac,Atolinga
zac,Tepechitlán
zac,"Benito Juárez"
zac,"Teúl de González Ortega"
zac,"Santa María de la Paz"
zac,"Trinidad García de la Cadena"
zac,"Mezquital del Oro"
zac,"Nochistlán de Mejía"
zac,Apulco
zac,Apozol
zac,Juchipila
zac,"Moyahua de Estrada"
